Location	Changed	Created	Destroyed	Mutation
10	0.172413793103	0.0	0.0459770114943	Synonymous
20	0.0	0.0	0.0	Synonymous
30	0.0	0.0	0.0	Synonymous
40	0.0	0.0	0.0	Synonymous
50	0.0	0.0	0.0	Synonymous
60	0.0	0.0	0.0	Synonymous
70	0.0	0.0	0.0	Synonymous
80	0.0	0.0	0.0153846153846	Synonymous
90	0.0	0.0	0.0169491525424	Synonymous
100	0.0	0.0	0.0140845070423	Synonymous
10	0.118279569892	0.0	0.0537634408602	Non-Synonymous
20	0.0	0.0	0.0900473933649	Non-Synonymous
30	0.0	0.0	0.0428571428571	Non-Synonymous
40	0.0	0.0	0.0506912442396	Non-Synonymous
50	0.0	0.0	0.0714285714286	Non-Synonymous
60	0.0	0.0	0.0199004975124	Non-Synonymous
70	0.0	0.0	0.0497512437811	Non-Synonymous
80	0.0	0.0	0.0528846153846	Non-Synonymous
90	0.0	0.0	0.0700934579439	Non-Synonymous
100	0.0	0.0	0.0528846153846	Non-Synonymous
