Location	Changed	Created	Destroyed	Mutation
10	0.0124563837735	0.0137864221148	0.00691948341968	Synonymous
20	0.00465935819543	0.0014395305734	0.00282586833116	Synonymous
30	0.0016691335725	0.000627179448584	0.00219094687372	Synonymous
40	0.00152510240699	0.000391008497241	0.00187548664477	Synonymous
50	0.00158176296514	0.000491241219696	0.00186705425768	Synonymous
60	0.00154457156207	0.000504212697084	0.00160171566774	Synonymous
70	0.0016245856209	0.000476229880554	0.00184074670143	Synonymous
80	0.00161079011019	0.00044006987369	0.001822426767	Synonymous
90	0.00155829342548	0.000711212499895	0.00169751662711	Synonymous
100	0.00150735519689	0.000469286601453	0.00144931621791	Synonymous
10	0.0118673165003	0.0419033714701	0.00480211638183	Non-Synonymous
20	0.00236018919711	0.00108460142405	0.00852201193062	Non-Synonymous
30	0.000733441995123	0.000371737700674	0.00848976667815	Non-Synonymous
40	0.000724827491057	0.000231944797138	0.00837700627251	Non-Synonymous
50	0.000746918647902	0.000321180021402	0.00835318195849	Non-Synonymous
60	0.000748396132986	0.000281525185233	0.00806654814557	Non-Synonymous
70	0.000735329059754	0.000264118192891	0.00842226896536	Non-Synonymous
80	0.000713464028186	0.000270555179228	0.00827047100651	Non-Synonymous
90	0.000765879852097	0.000429053110861	0.00833746430614	Non-Synonymous
100	0.000866343011548	0.000265445165155	0.00825942840808	Non-Synonymous
